,term,ASV,mean,support,supportNeg,signif,sign,CS1,kingdom,phylum,class,order,family,genus,species,model
35,(Intercept),ASV_240,-7.955394023,0,1,TRUE,negative,5.43968863,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Poaceascoma,s__helicoides,Presence
36,(Intercept),ASV_1516,-7.57202108,0,1,TRUE,negative,4.99712626,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
37,(Intercept),ASV_2401,-7.512896141,0,1,TRUE,negative,4.42971784,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae,g__Claroideoglomus,NA,Presence
38,(Intercept),ASV_843,-7.432410841,0,1,TRUE,negative,5.17850563,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA,Presence
39,(Intercept),ASV_252,-7.374043165,0,1,TRUE,negative,-3.12623851,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__Exidiaceae,NA,NA,Presence
40,(Intercept),ASV_1757,-7.3392479,0,1,TRUE,negative,2.70045394,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA,Presence
41,(Intercept),ASV_1233,-7.336323825,0,1,TRUE,negative,5.77209331,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
42,(Intercept),ASV_1505,-7.321935768,0,1,TRUE,negative,5.05955803,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
43,(Intercept),ASV_598,-7.276056297,0,1,TRUE,negative,5.17888543,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA,Presence
44,(Intercept),ASV_1115,-7.252623896,0,1,TRUE,negative,5.76946745,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
45,(Intercept),ASV_1494,-7.250173738,0,1,TRUE,negative,5.05968782,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
46,(Intercept),ASV_1109,-7.234157121,0,1,TRUE,negative,4.99739171,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
47,(Intercept),ASV_113,-7.213331317,0,1,TRUE,negative,5.55399976,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Cistella,NA,Presence
48,(Intercept),ASV_1156,-7.174872269,0.00025,0.99975,TRUE,negative,4.99904522,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
49,(Intercept),ASV_253,-7.147333696,0,1,TRUE,negative,-6.51149353,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA,Presence
50,(Intercept),ASV_811,-7.115881317,0,1,TRUE,negative,5.772232,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
51,(Intercept),ASV_2944,-7.088012244,0,1,TRUE,negative,4.9975704,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
52,(Intercept),ASV_2019,-7.072672031,0,1,TRUE,negative,5.06078141,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
53,(Intercept),ASV_1305,-7.052719311,0,1,TRUE,negative,5.06166851,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
54,(Intercept),ASV_1937,-6.998638732,0,1,TRUE,negative,5.05977857,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
55,(Intercept),ASV_107,-6.981118878,0,1,TRUE,negative,5.46092111,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Poaceascoma,s__helicoides,Presence
56,(Intercept),ASV_1138,-6.968989918,0,1,TRUE,negative,5.10393441,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices,Presence
57,(Intercept),ASV_785,-6.93249024,0,1,TRUE,negative,5.17645971,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA,Presence
58,(Intercept),ASV_3357,-6.859221103,0,1,TRUE,negative,5.76913661,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
59,(Intercept),ASV_416,-6.831769545,0,1,TRUE,negative,-3.07034614,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA,Presence
60,(Intercept),ASV_421,-6.787430241,0,1,TRUE,negative,4.99383948,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
61,(Intercept),ASV_140,-6.67987374,0,1,TRUE,negative,-3.08496489,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__cucumeris,Presence
62,(Intercept),ASV_1424,-6.663226373,0.00025,0.99975,TRUE,negative,5.77020143,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
63,(Intercept),ASV_964,-6.648040092,0,1,TRUE,negative,3.76806935,k__Fungi,p__Glomeromycota,NA,NA,NA,NA,NA,Presence
64,(Intercept),ASV_1273,-6.64615926,0.00025,0.99975,TRUE,negative,5.7694201,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
65,(Intercept),ASV_1458,-6.631330792,0,1,TRUE,negative,-3.0917282,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__cucumeris,Presence
66,(Intercept),ASV_3014,-6.625213414,0,1,TRUE,negative,2.7040366,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,NA,NA,NA,Presence
67,(Intercept),ASV_1030,-6.615979536,0,1,TRUE,negative,5.77104295,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
68,(Intercept),ASV_5641,-6.589848359,5.00E-04,0.9995,TRUE,negative,-0.11520198,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Occultifur,NA,Presence
69,(Intercept),ASV_452,-6.560540186,0,1,TRUE,negative,5.00173796,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
70,(Intercept),ASV_1729,-6.519658148,5.00E-04,0.9995,TRUE,negative,2.70124901,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS05,NA,NA,NA,Presence
71,(Intercept),ASV_2299,-6.502668609,0,1,TRUE,negative,2.70124105,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,NA,NA,NA,NA,Presence
72,(Intercept),ASV_1102,-6.498169803,0,1,TRUE,negative,2.70031263,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA,Presence
73,(Intercept),ASV_1662,-6.472913256,0,1,TRUE,negative,4.91963631,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Septoglomus,s__viscosum,Presence
74,(Intercept),ASV_375,-6.433515004,0,1,TRUE,negative,6.69639628,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,Presence
75,(Intercept),ASV_1834,-6.407118053,0,1,TRUE,negative,3.93437888,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Corymbiglomus,s__corymbiforme,Presence
76,(Intercept),ASV_191,-6.404336293,0.00075,0.99925,TRUE,negative,5.4404032,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Poaceascoma,s__helicoides,Presence
77,(Intercept),ASV_666,-6.394507568,0.00025,0.99975,TRUE,negative,5.02381824,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA,Presence
78,(Intercept),ASV_1198,-6.356479418,0.00075,0.99925,TRUE,negative,3.93261593,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
79,(Intercept),ASV_1106,-6.340725245,0,1,TRUE,negative,5.11272049,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__irregularis,Presence
80,(Intercept),ASV_827,-6.339066148,0,1,TRUE,negative,5.05943217,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__leptospora,Presence
81,(Intercept),ASV_3326,-6.332446158,0,1,TRUE,negative,3.93361278,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Corymbiglomus,s__corymbiforme,Presence
82,(Intercept),ASV_1200,-6.277336373,0,1,TRUE,negative,5.17283313,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA,Presence
83,(Intercept),ASV_2507,-6.274700549,0,1,TRUE,negative,4.99694426,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
84,(Intercept),ASV_1001,-6.233538053,0,1,TRUE,negative,5.17649197,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA,Presence
85,(Intercept),ASV_574,-6.23066897,0,1,TRUE,negative,5.77674554,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
86,(Intercept),ASV_5277,-6.209512324,0,1,TRUE,negative,2.70024847,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA,Presence
87,(Intercept),ASV_658,-6.174990377,0,1,TRUE,negative,5.77634641,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
88,(Intercept),ASV_319,-6.153664364,0.00025,0.99975,TRUE,negative,5.12436969,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__irregularis,Presence
89,(Intercept),ASV_3411,-6.146745217,0,1,TRUE,negative,4.97985028,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__macrocarpum,Presence
90,(Intercept),ASV_854,-6.114629915,5.00E-04,0.9995,TRUE,negative,4.98472846,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__macrocarpum,Presence
91,(Intercept),ASV_120,-6.111018033,0,1,TRUE,negative,5.03433255,k__Fungi,p__Ascomycota,c__Eurotiomycetes,NA,NA,NA,NA,Presence
92,(Intercept),ASV_2183,-6.095558423,0,1,TRUE,negative,5.77013822,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
93,(Intercept),ASV_451,-6.067152624,0,1,TRUE,negative,3.93487706,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
94,(Intercept),ASV_2550,-6.010972751,5.00E-04,0.9995,TRUE,negative,3.93299751,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
95,(Intercept),ASV_1129,-5.960080653,0.00125,0.99875,TRUE,negative,5.02299325,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA,Presence
96,(Intercept),ASV_756,-5.950272083,0.001,0.999,TRUE,negative,2.73013112,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,Presence
97,(Intercept),ASV_810,-5.949688105,0.00025,0.99975,TRUE,negative,5.15282874,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,NA,Presence
98,(Intercept),ASV_628,-5.926958543,0,1,TRUE,negative,3.93358388,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
99,(Intercept),ASV_235,-5.91578695,0.001,0.999,TRUE,negative,5.14034491,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Keissleriella,NA,Presence
100,(Intercept),ASV_2,-5.897026041,0,1,TRUE,negative,5.00728838,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,s__seminicola,Presence
101,(Intercept),ASV_3066,-5.882249515,5.00E-04,0.9995,TRUE,negative,3.40521053,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,Presence
102,(Intercept),ASV_20,-5.87485848,0.001,0.999,TRUE,negative,5.0234773,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA,Presence
103,(Intercept),ASV_210,-5.842268542,0,1,TRUE,negative,5.12347234,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,f__Phaeomoniellaceae,NA,NA,Presence
104,(Intercept),ASV_1605,-5.832121506,0,1,TRUE,negative,5.17526109,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA,Presence
105,(Intercept),ASV_730,-5.802417717,0.00025,0.99975,TRUE,negative,5.06544304,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
106,(Intercept),ASV_1991,-5.794805875,0.00125,0.99875,TRUE,negative,4.98015877,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__macrocarpum,Presence
107,(Intercept),ASV_553,-5.791903926,5.00E-04,0.9995,TRUE,negative,5.11210269,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices,Presence
108,(Intercept),ASV_1004,-5.757194513,0.0015,0.9985,TRUE,negative,5.77073347,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
109,(Intercept),ASV_94,-5.720031492,0,1,TRUE,negative,5.36233353,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Magnaporthiopsis,NA,Presence
110,(Intercept),ASV_2375,-5.713541153,5.00E-04,0.9995,TRUE,negative,-0.10999127,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA,Presence
111,(Intercept),ASV_1149,-5.705599774,0,1,TRUE,negative,4.99876373,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
112,(Intercept),ASV_2912,-5.702213312,0.001,0.999,TRUE,negative,3.40493709,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,NA,Presence
113,(Intercept),ASV_561,-5.699953672,0,1,TRUE,negative,5.77395441,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
114,(Intercept),ASV_1550,-5.692824396,0.00075,0.99925,TRUE,negative,5.76977136,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
115,(Intercept),ASV_2341,-5.662764076,0.00225,0.99775,TRUE,negative,4.89359027,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Scolecobasidium,s__constrictum,Presence
116,(Intercept),ASV_2186,-5.657492556,0.00275,0.99725,TRUE,negative,-6.58195602,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,NA,NA,Presence
117,(Intercept),ASV_592,-5.657464396,0,1,TRUE,negative,5.77321177,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
118,(Intercept),ASV_960,-5.604724516,0.00075,0.99925,TRUE,negative,4.92977579,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Septoglomus,NA,Presence
119,(Intercept),ASV_995,-5.585527536,0.002,0.998,TRUE,negative,3.93361904,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
120,(Intercept),ASV_1510,-5.530602071,0.001,0.999,TRUE,negative,5.76923437,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
121,(Intercept),ASV_812,-5.519491816,0.00025,0.99975,TRUE,negative,3.93520625,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
122,(Intercept),ASV_816,-5.493531142,0.001,0.999,TRUE,negative,-3.07332846,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,NA,NA,Presence
123,(Intercept),ASV_822,-5.493029355,5.00E-04,0.9995,TRUE,negative,3.9321536,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
124,(Intercept),ASV_1008,-5.48784406,0.0015,0.9985,TRUE,negative,5.77133363,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
125,(Intercept),ASV_246,-5.487662555,0.0045,0.9955,TRUE,negative,5.08021167,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA,Presence
126,(Intercept),ASV_634,-5.472556549,0.001,0.999,TRUE,negative,-6.20983317,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,NA,NA,Presence
127,(Intercept),ASV_1880,-5.417035585,0.00525,0.99475,TRUE,negative,3.93281203,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
128,(Intercept),ASV_926,-5.411047043,0.001,0.999,TRUE,negative,3.93280783,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA,Presence
129,(Intercept),ASV_17,-5.405126686,0.001,0.999,TRUE,negative,5.07958473,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA,Presence
130,(Intercept),ASV_1379,-5.35313481,0.001,0.999,TRUE,negative,5.05971646,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
131,(Intercept),ASV_2922,-5.335179053,0.00275,0.99725,TRUE,negative,4.91892789,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Septoglomus,s__viscosum,Presence
132,(Intercept),ASV_1645,-5.319983229,0.001,0.999,TRUE,negative,5.77028487,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
133,(Intercept),ASV_1369,-5.25287998,0.003,0.997,TRUE,negative,5.13401679,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Phialophora,s__livistonae,Presence
134,(Intercept),ASV_1371,-5.222462515,0.001,0.999,TRUE,negative,5.05911211,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,NA,Presence
135,(Intercept),ASV_2346,-5.209349431,0.00075,0.99925,TRUE,negative,4.90683702,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Dominikia,NA,Presence
136,(Intercept),ASV_739,-5.209326581,0.0015,0.9985,TRUE,negative,5.1786612,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA,Presence
137,(Intercept),ASV_2293,-5.174291815,0.0015,0.9985,TRUE,negative,-6.5108928,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,NA,NA,NA,Presence
