"","sample.name.match","sample.type","Sequencing sample id","i7 Index","i5 Index","PCR Tube id","Site","SiteSamp","Tissue","Tube num","DNA Tube id","DNA.AccuClear__ng/ul","PCR2.AccuClear__ng/ul","PCR1 redo notes","PCR2 redo notes","S","L","R1","numExt","R2","fnFs","fnRs","prefiltFs","prefiltRs","Fs.cutAdapt","Rs.cutAdapt","filtFs","filtRs"
"11","L108","sample","L108","N702","S505","L 108","WBI-NRT-NCS","WBI-NRT-NCS-5","L","108","L 108","45.521831820191053",35.5535713450289,NA,NA,"S11","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L108_S11_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L108_S11_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L108_S11_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L108_S11_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L108_S11_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L108_S11_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L108_S11_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L108_S11_L001_R2_filt.fastq.gz"
"12","L93","sample","L93","N702","S506","L 93","SFA-ONE-PRO","SFA-ONE-PRO-4","L","93","L 93","19.508446039956549",49.1598958602143,NA,NA,"S12","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L93_S12_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L93_S12_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L93_S12_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L93_S12_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L93_S12_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L93_S12_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L93_S12_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L93_S12_L001_R2_filt.fastq.gz"
"13","L22","sample","L22","N702","S507","L 22","CGF-MON-PRO","CGF-MON-PRO-6","L","22","L 22","40.012548287647746",38.2667171086238,NA,NA,"S13","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L22_S13_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L22_S13_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L22_S13_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L22_S13_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L22_S13_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L22_S13_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L22_S13_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L22_S13_L001_R2_filt.fastq.gz"
"14","L100","sample","L100","N702","S508","L 100","UCP-MXG-NCD","UCP-MXG-NCD-3","L","100","L 100","36.635250526298194",16.2632823416697,NA,NA,"S14","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L100_S14_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L100_S14_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L100_S14_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L100_S14_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L100_S14_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L100_S14_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L100_S14_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L100_S14_L001_R2_filt.fastq.gz"
"15","L69","sample","L69","N702","S510","L 69","MHC-ONE-NCD","MHC-ONE-NCD-4","L","69","L 69","22.500177593265349",40.3472465906822,NA,NA,"S15","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L69_S15_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L69_S15_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L69_S15_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L69_S15_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L69_S15_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L69_S15_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L69_S15_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L69_S15_L001_R2_filt.fastq.gz"
"16","L14","sample","L14","N702","S511","L 14","CCR-ONE-NCD","CCR-ONE-NCD-6","L","14","L 14","34.533794131351954",68.8758728056395,NA,NA,"S16","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L14_S16_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L14_S16_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L14_S16_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L14_S16_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L14_S16_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L14_S16_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L14_S16_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L14_S16_L001_R2_filt.fastq.gz"
"17","L63","sample","L63","N703","S502","L 63","LWR-BHO-NCS","LWR-BHO-NCS-7","L","63","L 63","49.402691395497051",34.1560210892728,NA,NA,"S17","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L63_S17_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L63_S17_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L63_S17_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L63_S17_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L63_S17_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L63_S17_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L63_S17_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L63_S17_L001_R2_filt.fastq.gz"
"18","L44","sample","L44","N703","S503","L 44","CRE-MXT-NCD","CRE-MXT-NCD-4","L","44","L 44","37.210490595279452",23.59813851642,NA,NA,"S18","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L44_S18_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L44_S18_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L44_S18_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L44_S18_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L44_S18_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L44_S18_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L44_S18_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L44_S18_L001_R2_filt.fastq.gz"
"19","L4","sample","L4","N703","S505","L 4","BRF-ONE-COM","BRF-ONE-COM-4","L","4","L 4","25.670688705619149",40.428597519264,NA,NA,"S19","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L4_S19_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L4_S19_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L4_S19_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L4_S19_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L4_S19_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L4_S19_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L4_S19_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L4_S19_L001_R2_filt.fastq.gz"
"20","L33","sample","L33","N703","S506","L 33","CRE-MXG-NCD","CRE-MXG-NCD-1","L","33","L 33","39.363264278649254",29.06803633897,NA,NA,"S20","L001","R1","001.fastq.gz","R2","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L33_S20_L001_R1_001.fastq.gz","/Volumes/GoogleDrive/Shared drives/HawkesLab/Projects/DOE LLNL/Data/NC Data/Sequencing - Illumina/GSL_data/fastq_DOENCFIELD-FUN-HAWKES_2020_01_13/L33_S20_L001_R2_001.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L33_S20_L001_R1_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/prefiltered/L33_S20_L001_R2_prefilt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L33_S20_L001_R1_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/cutAdapt/L33_S20_L001_R2_cutAdapt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L33_S20_L001_R1_filt.fastq.gz","data_intermediates/Illum_analyses/FUN-2020_01_13/filtered/L33_S20_L001_R2_filt.fastq.gz"
